iter	Passed	Remaining
0	56	56278
1	61	30762
2	66	22101
3	70	17669
4	74	14919
5	78	13039
6	82	11696
7	86	10752
8	90	9963
9	94	9331
10	98	8824
11	102	8413
12	106	8073
13	110	7782
14	114	7535
15	118	7305
16	123	7112
17	127	6930
18	130	6743
19	133	6560
20	137	6409
21	141	6273
22	144	6141
23	147	6015
24	151	5895
25	154	5801
26	158	5702
27	161	5604
28	164	5512
29	167	5427
30	170	5337
31	174	5265
32	177	5190
33	180	5119
34	183	5056
35	186	4990
36	189	4926
37	192	4871
38	195	4816
39	198	4761
40	201	4712
41	204	4663
42	207	4626
43	210	4579
44	213	4534
45	216	4496
46	219	4456
47	222	4421
48	225	4384
49	228	4347
50	232	4317
51	234	4283
52	237	4249
53	240	4217
54	243	4187
55	246	4158
56	249	4134
57	252	4106
58	255	4081
59	258	4057
60	261	4031
61	264	4008
62	267	3984
63	270	3961
64	273	3938
65	276	3917
66	279	3897
67	282	3878
68	285	3855
69	288	3834
70	291	3815
71	294	3795
72	297	3777
73	300	3758
74	303	3740
75	306	3723
76	309	3707
77	312	3691
78	315	3677
79	318	3661
80	321	3646
81	324	3629
82	327	3614
83	330	3601
84	333	3588
85	336	3574
86	339	3562
87	342	3549
88	345	3537
89	348	3526
90	351	3513
91	354	3501
92	357	3488
93	360	3475
94	363	3466
95	366	3454
96	369	3441
97	372	3430
98	375	3419
99	378	3410
100	381	3398
101	384	3389
102	388	3380
103	391	3369
104	394	3359
105	397	3350
106	400	3339
107	403	3328
108	406	3319
109	409	3314
110	412	3306
111	415	3297
112	419	3289
113	424	3300
114	427	3293
115	430	3283
116	433	3274
117	437	3267
118	440	3257
119	443	3249
120	446	3240
121	449	3231
122	452	3223
123	454	3213
124	457	3204
125	460	3197
126	463	3189
127	466	3180
128	469	3172
129	472	3163
130	475	3155
131	478	3148
132	481	3140
133	484	3133
134	487	3126
135	490	3117
136	493	3110
137	496	3103
138	499	3095
139	502	3087
140	505	3080
141	508	3074
142	511	3067
143	514	3059
144	517	3052
145	520	3046
146	523	3038
147	526	3031
148	529	3024
149	532	3017
150	535	3009
151	538	3004
152	541	3000
153	544	2993
154	547	2987
155	550	2980
156	553	2973
157	557	2969
158	560	2963
159	563	2956
160	566	2950
161	569	2944
162	572	2937
163	575	2932
164	578	2926
165	581	2919
166	584	2913
167	587	2907
168	590	2902
169	593	2896
170	596	2891
171	599	2885
172	602	2879
173	605	2874
174	608	2868
175	611	2862
176	614	2856
177	617	2850
178	620	2844
179	623	2840
180	626	2835
181	629	2829
182	632	2825
183	635	2820
184	639	2815
185	641	2809
186	644	2803
187	647	2798
188	651	2793
189	654	2788
190	657	2782
191	659	2777
192	662	2771
193	665	2765
194	668	2760
195	671	2756
196	674	2750
197	677	2744
198	680	2739
199	683	2734
200	686	2729
201	689	2724
202	692	2718
203	695	2712
